en_term_no_stopwords;en_definition_no_stopwords;ru_term_no_stopwords;ru_definition_no_stopwords
dissociation equilibrium;state compound reversibly breaks smaller components forward reverse reactions occurring equal rates;диссоциационное равновесие;состояние соединение обратимо распадается мелкие компоненты скорости прямой обратной реакций равны
dissociation limit;energy threshold molecule breaks constituent atoms fragments marking end bound states;предел диссоциации;порог энергии молекула распадается составляющие атомы фрагменты обозначая конец связанных состояний
dissociative adsorption;process molecule adsorbs surface splits fragments forming new chemical bonds surface atoms;диссоциативная адсорбция;процесс молекула адсорбируется поверхности расщепляется две части образуя новые химические связи атомами поверхности
dissolution;process solute forms homogeneous mixture solvent typically resulting solution;растворение;процесс растворённое вещество образует однородную смесь растворителем приводя образованию раствора
dissolution solids;process solid substance disperses liquid solvent form homogeneous solution involving breaking intermolecular forces solid formation new interactions solute solvent particles;растворение твёрдых веществ;процесс твёрдое вещество равномерно распределяется жидком растворителе образованием раствора разрыв межмолекулярных связей образование новых взаимодействий частиц растворённого вещества растворителя
distillation;process separating components liquid mixture based differences volatilities heating condensation;дистилляция;процесс разделения компонентов жидкой смеси основанный различии летучести путём нагревания конденсации
distinguishable molecules;molecules individually identified differentiated based physical chemical properties position orientation energy state;различимые молекулы;молекулы индивидуально идентифицировать различить основе физических химических свойств положение ориентация энергетическое состояние
distortion polarization;polarization caused displacement electron clouds relative nuclei external electric field contributing dielectric properties materials;деформационная поляризация;поляризация вызванная смещением электронных облаков относительно ядер действием внешнего электрического поля влияющая диэлектрические свойства материалов
distribution;way shared spread particular area group people things;распределение;способ чтолибо распределено распространено определённой области группы людей вещей
distribution speeds;statistical representation velocities particles gas liquid described maxwellboltzmann distribution ideal gases;распределение скоростей;статистическое представление скоростей частиц газе жидкости описываемое распределением максвеллабольцмана идеальных газов
dlvo;theory describing stability colloidal systems balancing van der waals attraction electrostatic repulsion particles;длфо;теория описывающая устойчивость коллоидных систем путём баланса вандерваальсового притяжения электростатического отталкивания частицами
dmetal;transition metal atoms ions incompletely filled dorbitals exhibiting variable oxidation states catalytic properties;dметалл;переходный металл атомы ионы имеют частично заполненные dорбитали проявляющие переменные степени окисления каталитические свойства
dmetal complex;coordination complex central atom transition metal partially filled dorbitals forming bonds ligands dative covalent interactions;dметаллический комплекс;координационное соединение центральным атомом является переходный металл частично заполненными dорбиталями образующий связи лигандами донорноакцепторные взаимодействия
dogonadze rr;soviet physicist chemist known contributions quantum electrochemistry electron transfer theory;догонадзе рр;советский физик химик известный вкладом квантовую электрохимию теорию переноса электронов
dominating;exerting control influence superior prevailing manner;доминирующий;оказывающий контроль влияние превосходящей преобладающей манере
dominating configuration;probable arrangement particles system corresponding state maximum entropy minimum free energy;доминирующая конфигурация;вероятное расположение частиц системе соответствующее состоянию максимальной энтропии минимальной свободной энергии
donor level;energy level semiconductor introduced donor impurity donate electrons conduction band increasing conductivity;донорный уровень;энергетический уровень полупроводнике создаваемый донорной примесью отдавать электроны зону проводимости увеличивая проводимость
dopant;substance added small amounts material alter electrical optical properties commonly semiconductors;легирующая добавка;вещество добавляемое небольших количествах материал изменения электрических оптических свойств используется полупроводниках
doping;intentional introduction impurities pure substance modify electrical optical properties commonly semiconductors alter conductivity adding donor acceptor atoms;легирование;преднамеренное введение примесей чистое вещество изменения электрических оптических свойств применяется полупроводниках изменения проводимости
doppler effect;change frequency wavelength wave relation observer moving relative wave source;эффект доплера;изменение частоты длины волны волны относительно наблюдателя движущегося относительно источника волны
dot product;scalar quantity obtained multiplying corresponding components vectors summing results measuring extent point direction;скалярное произведение;скалярная величина получаемая умножением соответствующих компонент двух векторов суммированием результатов измеряющая степень сонаправленности
double bond;covalent bond atoms involving bonding electrons typically consisting sigma bond pi bond increasing bond strength reducing bond length compared single bond;двойная связь;ковалентная связь двумя атомами включающая четыре связывающих электрона состоящая сигмасвязи писвязи увеличивающая прочность связи уменьшающая длину сравнению одинарной связью
double layer;structure interface phases charges separated typically electrode electrolyte forming inner outer layer ions;двойной слой;структура границе раздела двух фаз заряды разделены электродом электролитом образуя внутренний внешний слои ионов
doubleslit experiment;demonstration light matter exhibit characteristics classically defined waves particles involves passing particles waves closely spaced slits creating interference pattern detection screen experiment highlights waveparticle duality quantum mechanics;опыт двумя щелями;демонстрация свет вещество проявлять свойства волн частиц опыта заключается прохождении частиц волн две расположенные щели создает интерференционную картину экране эксперимент подчеркивает корпускулярноволновой дуализм квантовой механике
drift speed;average velocity charged particles electrons conductor influence electric field;скорость дрейфа;средняя скорость заряженных частиц электронов проводнике действием электрического поля
droplet;small drop liquid typically spherical shape formed surface tension;капля;небольшой объём жидкости сферической формы образованный действием поверхностного натяжения
drug delivery;method process administering pharmaceutical compound achieve therapeutic effect humans animals;доставка лекарств;метод процесс введения фармацевтического соединения достижения терапевтического эффекта людей животных
drug delivery systems;technologies designed transport pharmaceutical compounds body achieve therapeutic effects optimizing drug release targeting specific sites improving efficacy minimizing effects;системы доставки лекарств;технологии предназначенные транспортировки фармацевтических соединений организме оптимизации высвобождения лекарств нацеливания определённые участки повышения эффективности минимизации побочных эффектов
ds;differential element entropy thermodynamics representing infinitesimal change entropy reversible process context second law thermodynamics describe heat transfer irreversibility;ds;дифференциальный элемент энтропии термодинамике представляющий бесконечно малое изменение энтропии обратимом процессе используемый контексте второго закона термодинамики описания теплопередачи необратимости
dsc;differential scanning calorimetry dsc thermoanalytical technique measuring heat flow differences sample reference function temperature study thermal transitions like melting crystallization;дск;дифференциальная сканирующая калориметрия дск термоаналитический метод измеряющий разницу тепловых потоков образцом эталоном зависимости температуры применяемый изучения термических переходов плавление кристаллизация
duality;concept physics particles exhibit wavelike particlelike properties fundamental quantum mechanics;дуальность;концепция физике частицы проявляют волновые корпускулярные свойства фундаментальная квантовой механики
dulongpetit law;empirical rule stating molar heat capacity solid element approximately 3r r universal gas constant law based classical mechanics works elements high temperatures fails low temperatures quantum effects;закон дюлонга пти;эмпирическое правило утверждающее молярная теплоёмкость твёрдого элемента примерно равна 3r r универсальная газовая постоянная закон основан классической механике работает высоких температурах применим низких изза квантовых эффектов
dupré equation;equation surface chemistry relates work adhesion phases surface free energies interfacial free energy expressed wₐₕ γ₁ γ₂ γ₁₂ wₐₕ work adhesion γ₁ γ₂ surface free energies phases γ₁₂ interfacial free energy;уравнение дюпре;уравнение поверхностной химии связывающее работу адгезии двумя фазами поверхностными свободными энергиями межфазной свободной энергией wₐₕ γ₁ γ₂ γ₁₂ wₐₕ работа адгезии γ₁ γ₂ поверхностные свободные энергии фаз γ₁₂ межфазная свободная энергия
dynamic light scattering;technique physical chemistry measures fluctuations scattered light intensity determine size distribution small particles suspension polymers solution based brownian motion particles;динамическое рассеяние света;метод физической химии измеряющий флуктуации интенсивности рассеянного света определения распределения размеров мелких частиц суспензии полимеров растворе основанный броуновском движении частиц
dynamic mechanical analysis;technique study viscoelastic behavior materials applying periodic force measuring resulting deformation providing information properties like storage modulus loss modulus damping;динамический механический анализ;метод исследования вязкоупругих свойств материалов путём приложения периодической силы измерения деформации позволяющий определить модуль накопления модуль потерь демпфирование
e orbital;type d orbital transition metal complexes higher energy involved crystal field splitting;eорбиталь;тип dорбитали комплексах переходных металлов высокой энергией участвующий расщеплении кристаллического поля
ebullioscopy;technique determining molecular weight solute measuring boiling point elevation solvent caused addition solute based principle boiling point solvent increases proportion concentration dissolved particles;эбуллиоскопия;метод определения молекулярной массы растворённого вещества путём измерения повышения температуры кипения растворителя добавлении растворённого вещества основанный пропорциональности повышения температуры концентрации частиц
effect;change result produced action phenomenon substance system process observable measurable physical chemistry;эффект;изменение результат вызванный действием явлением веществом системе процессе наблюдаемый измеримый физической химии
effect surfactant;influence surfactants surface tension micelle formation interfacial phenomena crucial colloid chemistry industrial applications;эффект поверхностноактивного вещества;влияние пав поверхностное натяжение образование мицелл межфазные явления важное коллоидной химии промышленных применениях
effect temperature;influence temperature changes physical chemical properties substance reaction rate solubility phase transitions;влияние температуры;влияние изменений температуры физические химические свойства вещества скорость реакции растворимость фазовые переходы
effect equilibrium;change conditions eg concentration temperature pressure shifts position chemical equilibrium described le chateliers principle;влияние равновесие;изменение условий концентрации температуры давления смещает положение химического равновесия описано принципом ле шателье
effective collision;collision reactant molecules results chemical reaction occurring molecules possess sufficient energy proper orientation overcome activation energy barrier;эффективное столкновение;столкновение молекул реагентов приводящее химической реакции молекулы обладают достаточной энергией правильной ориентацией преодоления энергетического барьера активации
effective mass;parameter simplifies motion charge carriers crystal lattice treating particles modified mass interactions lattice;эффективная масса;параметр упрощающий описание движения носителей заряда кристаллической решётке рассматривая частицы изменённой массой изза взаимодействия решёткой
effective nuclear charge;net positive charge experienced electron multielectron atom accounting shielding electrons;эффективный ядерный заряд;чистый положительный заряд воспринимаемый электроном многоэлектронном атоме учётом экранирования электронами
effective potential energy;modified potential energy function includes centrifugal effects central force problems simplify analysis orbital motion;эффективная потенциальная энергия;модифицированная функция потенциальной энергии включающая центробежные эффекты используемая задачах центральных сил упрощения анализа орбитального движения
effective transverse relaxation;decay transverse magnetization nmr mri spinspin interactions magnetic field inhomogeneities characterized time constant t2;эффективная поперечная релаксация;затухание поперечной намагниченности ямр мрт обусловленное спинспиновыми взаимодействиями неоднородностями магнитного поля характеризуемое постоянной времени t2
efficiency;ratio useful output total input system expressed percentage indicating energy resources converted desired results;эффективность;отношение полезного результата общим затратам системе выражаемое процентах показывающее насколько энергия ресурсы преобразуются желаемые результаты
effusion;process gas molecules pass tiny orifice vacuum lower pressure region following grahams law effusion;эффузия;процесс молекулы газа проходят крошечное отверстие вакуум область низким давлением подчиняясь закону грэма эффузии
eigenfulford mechanism;reaction mechanism chemical kinetics involving coupled proton electron transfer observed redox processes;механизм эйгенафулфорда;механизм реакции химической кинетике включающий сопряжённый перенос протона электрона наблюдаемый редокспроцессах
eigenfunction;nonzero function linear operator applied yields scalar multiple scalar eigenvalue;собственная функция;ненулевая функция применении линейного оператора даёт скалярное кратное скаляр собственное значение
eigenstate;quantum state system corresponding definite value observable obtained solving eigenvalue equation systems hamiltonian relevant operator;собственное состояние;квантовое состояние системы соответствующее определённому значению наблюдаемой величины полученное решением уравнения собственные значения гамильтониана другого оператора системы
eigenvalue equation;mathematical equation form ax λx matrix x nonzero vector λ scalar representing eigenvalues matrix;уравнение собственные значения;математическое уравнение вида ax λx a матрица x ненулевой вектор λ скаляр представляющий собственные значения матрицы
eigenvalue problem;mathematical problem linear operator acts vector produce scalar multiple vector expressed av λv operator v eigenvector λ eigenvalue fundamental quantum mechanics stability analysis;задача собственные значения;математическая задача линейный оператор действует вектор производя скалярное кратное вектора выражаемое av λv a оператор v собственный вектор λ собственное значение основополагающая квантовой механике анализе устойчивости
eigenvalues;scalars associated linear transformation vector space multiplied nonzero vector eigenvector result vector parallel original fundamental solving systems linear differential equations stability analysis;собственные значения;скаляры связанные линейным преобразованием векторного пространства умножении ненулевой вектор собственный вектор дают вектор параллельный исходному используются решении систем линейных дифференциальных уравнений анализе устойчивости
eigenvector;nonzero vector changes scalar factor linear transformation applied associated specific eigenvalue;собственный вектор;ненулевой вектор изменяется скалярный множитель применении линейного преобразования связанный определённым собственным значением
eigenweller mechanism;kinetic model describing electron transfer reactions solution involving precursor successor complexes formation;механизм эйгенавеллера;кинетическая модель описывающая реакции переноса электрона растворе включающая образование предшественников последующих комплексов
einstein;unit energy equal energy mole photons photochemistry quantify light absorption;эйнштейн;единица энергии равная количеству энергии моль фотонов используемая фотохимии количественной оценки поглощения света
einstein heat capacity;unit heat capacity einstein model representing vibrational contribution heat capacity solid derived quantum mechanical principles;эйнштейн теплоёмкость;единица теплоёмкости модели эйнштейна представляющая вклад колебаний теплоёмкость твёрдого тела основанная квантовомеханических принципах
einstein coefficient;measure probability quantum mechanical transition energy levels including absorption spontaneous emission stimulated emission;коэффициент эйнштейна;мера вероятности квантовомеханического перехода уровнями энергии поглощение спонтанное вынужденное излучение
einstein formula heat capacity;theoretical model describing heat capacity solids low temperatures assuming atoms vibrate independent quantum harmonic oscillators;формула эйнштейна теплоёмкость;теоретическая модель описывающая теплоёмкость твёрдых тел низких температурах предполагающая атомы колеблются независимые квантовые гармонические осцилляторы
einstein relation;fundamental equation physical chemistry relating diffusion coefficient mobility particles expressed d μkt d diffusion coefficient μ mobility k boltzmann constant t temperature;соотношение эйнштейна;фундаментальное уравнение физической химии связывающее коэффициент диффузии подвижностью частиц выражаемое d μkt d коэффициент диффузии μ подвижность k постоянная больцмана t температура
einstein temperature;characteristic temperature solidstate physics defined θe hνkb h plancks constant ν einstein frequency kb boltzmanns constant describes quantum effects heat capacity solids;температура эйнштейна;характерная температура физике твёрдого тела определяемая θe hνkb h постоянная планка ν частота эйнштейна kb постоянная больцмана описывает квантовые эффекты теплоёмкости твёрдых тел
einsteins photoelectric equation;einsteins photoelectric equation describes energy photoelectrons emitted material light shines given e hν φ hν photon energy φ work function material;уравнение фотоэффекта эйнштейна;уравнение фотоэффекта эйнштейна описывает энергию фотоэлектронов испускаемых материалом освещении e hν φ hν энергия фотона φ работа выхода материала
einsteinsmoluchowski;theory describing random motion particles fluid brownian motion diffusion developed albert einstein marian smoluchowski;теория эйнштейнасмолуховского;теория описывающая случайное движение частиц жидкости броуновское движение диффузию разработанная альбертом эйнштейном марианом смолуховским
elastic collision;collision total kinetic energy system conserved meaning energy lost deformation heat forms momentum conserved collisions making ideal analyzing interactions physics;упругое столкновение;столкновение сохраняется полная кинетическая энергия системы энергия теряется деформацию тепло формы импульс сохраняется делает столкновения идеальными анализа взаимодействий физике
elastic deformation;reversible deformation material returns original shape applied stress removed governed hookes law;упругая деформация;обратимая деформация материал возвращается исходной форме снятия приложенного напряжения описываемая законом гука
elasticity;ability material return original shape size deformed external force characterized modulus elasticity quantifies materials resistance deformation;упругость;способность материала возвращаться исходной форме размеру деформации действием внешней силы характеризуемая модулем упругости определяет сопротивление материала деформации
elastomer;polymer viscoelasticity viscosity elasticity weak intermolecular forces generally having low youngs modulus high failure strain compared materials;эластомер;полимер вязкоупругостью вязкостью упругостью слабыми межмолекулярными силами обладающий низким модулем юнга высокой деформацией разрушения сравнению материалами
elastomeric property;ability material undergo large elastic deformations return original shape stress removed characteristic elastomers like rubber;эластомерное свойство;способность материала подвергаться значительным упругим деформациям возвращаться исходной форме снятия напряжения характерная эластомеров резина
electric;relating operated electricity form energy resulting movement charged particles;электрический;относящийся электричеству работающий является формой энергии возникающей результате движения заряженных частиц
electric constant;fundamental physical constant representing permittivity free space denoted ε₀ crucial coulombs law maxwells equations;электрическая постоянная;фундаментальная физическая постоянная представляющая диэлектрическую проницаемость вакуума обозначаемая ε₀ важная законе кулона уравнениях максвелла
electric current;flow electric charge conductor measured amperes representing rate charge flow unit time;электрический ток;поток электрического заряда проводник измеряемый амперах представляющий скорость потока заряда единицу времени
electric dipole;pair equal opposite charges separated small distance creating dipole moment;электрический диполь;пара равных противоположных зарядов разделённых небольшим расстоянием создающая дипольный момент
electric dipole moment;measure separation positive negative electrical charges system defined product charge magnitude distance pointing negative positive charge;электрический дипольный момент;мера разделения положительных отрицательных электрических зарядов системе определяемая произведение величины заряда расстояние направленная отрицательного положительному заряду
electric field strength;vector quantity representing force unit charge exerted positive test charge placed field measured volts meter vm;напряжённость электрического поля;векторная величина представляющая силу действующую единичный положительный пробный заряд помещённый поле измеряется вольтах метр вм
electric potential;electric potential energy unit charge point static electric field measured volts v;электрический потенциал;величина электрической потенциальной энергии единицу заряда точке статического электрического поля измеряемая вольтах
electric vehicles;vehicles use electric motors propulsion powered rechargeable battery packs energy storage devices producing zero tailpipe emissions offering alternative traditional internal combustion engine vehicles;электромобили;транспортные средства использующие электродвигателей движения работающие перезаряжаемых аккумуляторов накопителей энергии производящие выбросов являющиеся альтернативой автомобилям двс
electrical charge;fundamental property matter causes experience force presence charged matter measured coulombs c;электрический заряд;фундаментальное свойство материи вызывающее силу присутствии заряженных частиц измеряется кулонах кл
electrical conductivity;measure materials ability conduct electric current quantified ratio current density electric field strength expressed siemens meter sm;электрическая проводимость;мера способности материала проводить электрический ток количественно выраженная отношение плотности тока напряжённости электрического поля измеряется сименсах метр смм
electrical double layer;structure interface electrode electrolyte consisting layers opposite charge forms redistribution ions near surface;электрический двойной слой;структура границе раздела электрода электролита состоящая двух слоёв противоположного заряда образующаяся изза перераспределения ионов вблизи поверхности
electrical heating;process generating heat passing electric current conductor commonly industrial domestic applications;электрический нагрев;процесс генерации тепла путём пропускания электрического тока проводник широко используемый промышленных бытовых приложениях
electrical work;work electric field moving charge potential difference calculated w qδv q charge δv potential difference;электрическая работа;работа совершаемая электрическим полем перемещении заряда разность потенциалов вычисляемая w qδv q заряд δv разность потенциалов
electrocatalysis;process increasing rate electrochemical reaction catalyst lowers activation energy consumed crucial fuel cells electrolysis energy conversion technologies;электрокатализ;процесс ускорения электрохимической реакции помощью катализатора снижает энергию активации расходуясь важен топливных элементах электролизе технологиях преобразования энергии
electrochemical;relating interconversion chemical electrical energy involving redox reactions ion transport solutions interfaces;электрохимический;относящийся взаимопревращению химической электрической энергии окислительновосстановительные реакции транспорт ионов растворах границах раздела
electrochemical cell;device generates electrical energy chemical reactions uses electrical energy drive chemical reactions consisting electrodes electrolyte;электрохимическая ячейка;устройство преобразующее химическую энергию электрическую использующее электрическую энергию проведения химических реакций состоящее двух электродов электролита
electrochemical measurement;technique quantifies electrical properties like current voltage impedance study redox reactions ion transport material properties electrochemical systems;электрохимическое измерение;методика измеряющая электрические свойства ток напряжение импеданс исследования окислительновосстановительных реакций транспорта ионов свойств материалов электрохимических системах
electrochemical potential;sum chemical potential electrical potential charged species system determining tendency undergo electrochemical reactions;электрохимический потенциал;сумма химического потенциала электрического потенциала заряженной частицы системе определяющая склонность электрохимическим реакциям
electrochemical reaction;chemical process involving transfer electrons species occurring interface electrode electrolyte driven applied voltage resulting electrical energy generation;электрохимическая реакция;химический процесс включающий перенос электронов частицами границе электрода электролита вызванный приложенным напряжением приводящий генерации электрической энергии
electrochemical series;list metals substances ordered standard electrode potentials indicating tendency gain lose electrons redox reactions;электрохимический ряд напряжений;список металлов веществ упорядоченный стандартным электродным потенциалам показывающий склонность потере приобретению электронов окислительновосстановительных реакциях
electrochemistry;branch chemistry studies relationship electrical energy chemical changes including reactions involving electron transfer redox conversion chemical energy electrical energy vice versa batteries fuel cells electrolysis;электрохимия;раздел химии изучающий взаимосвязь электрической энергии химических изменений реакции переносом электронов окислительновосстановительные преобразование химической энергии электрическую батареях топливных элементах электролизе
electrode;conductor electricity enters leaves object substance region electrochemical cells facilitate redox reactions;электрод;проводник электричество входит выходит объекта вещества области используемый электрохимических ячейках облегчения окислительновосстановительных реакций
electrode compartment;separate section electrochemical cell containing electrode electrolyte isolated prevent mixing reactants products;электродный отсек;отдельная секция электрохимической ячейке содержащая электрод электролит изолированная предотвращения смешивания реагентов продуктов
electrode concentration cell;galvanic cell voltage generated difference concentration electrolyte electrodes;концентрационный элемент электродами;гальванический элемент напряжение возникает изза разницы концентраций электролита двух электродах
electrode passivation;process electrode reactive formation passive layer typically oxide compound inhibits electrochemical reactions phenomenon common batteries corrosion studies;пассивация электрода;процесс снижения реакционной способности электрода изза образования пассивного слоя оксида подавляет дальнейшие электрохимические реакции встречается батареях исследованиях коррозии
electrode potential;voltage developed electrode equilibrium ions solution measured relative standard hydrogen electrode quantifies tendency chemical species gain lose electrons;электродный потенциал;напряжение развиваемое электродом равновесии ионами растворе измеренное относительно стандартного водородного электрода свэ характеризует склонность химического вида приобретению потере электронов
electrode potential calculation;process determining potential difference electrode reference electrode standard conditions nernst equation account concentration temperature factors influencing redox reactions;расчёт электродного потенциала;процесс определения разности потенциалов электродом стандартным электродом сравнения использованием уравнения нернста учёта концентрации температуры факторов влияющих окислительновосстановительные реакции
electrodialysis;separation process ions transported ionexchange membranes influence electric field desalination purification solutions;электродиализ;процесс разделения ионы перемещаются ионообменные мембраны действием электрического поля используемый опреснения очистки растворов
electrokinetic potential;potential difference stationary layer fluid attached charged surface bulk fluid arising relative motion applied electric field;электрокинетический потенциал;разность потенциалов неподвижным слоем жидкости прикреплённым заряженной поверхности объёмной жидкостью возникающая относительном движении действием приложенного электрического поля
