object;relation;subject
Ряд Клебша-Гордана;DESCRIBES;Математический ряд в квантовой механике, представляющий разложение тензорного произведения двух неприводимых представлений группы в прямую сумму неприводимых представлений.
плотноупакованная структура;DESCRIBES;высокоэффективное расположение атомов или молекул в кристаллической решётке, где частицы занимают максимально возможный объём, минимизируя пустое пространство.
замкнутая оболочка;DESCRIBES;электронная конфигурация, в которой все электронные оболочки полностью заполнены, что обеспечивает высокую стабильность и низкую реакционную способность, характерную для благородных газов.
закрытая система;DESCRIBES;физическая система, которая обменивается энергией с окружающей средой, но не обменивается веществом.
образование облаков;DESCRIBES;процесс, при котором водяной пар конденсируется в крошечные капли или кристаллы льда в атмосфере, образуя видимые облака.
ККМ;DESCRIBES;"критическая концентрация мицеллообразования; минимальная концентрация молекул ПАВ в растворе, необходимая для образования мицелл."
полное пренебрежение дифференциальным перекрытием (cndo) —;IS_A;полуэмпирический метод квантовой химии, аппроксимирующий расчёты молекулярных орбиталей путём пренебрежения интегралами дифференциального перекрытия.
CNDO;DESCRIBES;Полное пренебрежение дифференциальным перекрытием (CNDO) — это полуэмпирический метод квантовой химии, аппроксимирующий расчёты молекулярных орбиталей путём пренебрежения интегралами дифференциального перекрытия.
бесцветный газ без запаха, образующийся при сгорании углерода и органических соединений, а также при дыхании. присутствует в воздухе и поглощается растениями в процессе фотосинтеза.;IS_A;парниковым газом.
диоксид углерода;DESCRIBES;бесцветный газ без запаха, образующийся при сгорании углерода и органических соединений, а также при дыхании. Присутствует в воздухе и поглощается растениями в процессе фотосинтеза. Является парниковым газом.
коагуляция;DESCRIBES;процесс, при котором коллоидные частицы объединяются в более крупные агрегаты, часто приводящий к осаждению или образованию геля, обычно вызванный изменениями pH, температуры или ионной силы.
слияние линий;DESCRIBES;объединение спектральных линий в одну уширенную линию из-за эффектов высокого давления или температуры.
коэффициент;DESCRIBES;числовой или постоянный множитель в алгебраическом выражении, уравнении или модели, который количественно определяет конкретное свойство или взаимосвязь.
коэффициент производительности;DESCRIBES;безразмерное отношение полезного нагрева или охлаждения к затраченной работе, используемое для измерения эффективности тепловых насосов, холодильников и кондиционеров. Рассчитывается как желаемый выход (нагрев или охлаждение), делённый на затраченную энергию.
кривая сосуществования;DESCRIBES;кривая на фазовой диаграмме, представляющая условия, при которых две различные фазы вещества сосуществуют в равновесии, например, жидкость и пар.
линия сосуществования;DESCRIBES;кривая на фазовой диаграмме, показывающая условия (температура, давление и др.), при которых две фазы вещества находятся в равновесии, например, жидкость и пар или твёрдая фаза и жидкость.
энергия, необходимая для разделения молекул в веществе на единицу объёма, часто;USED_FOR;предсказания растворимости и смешиваемости жидкостей.
плотность когезионной энергии;DESCRIBES;энергия, необходимая для разделения молекул в веществе на единицу объёма, часто используется для предсказания растворимости и смешиваемости жидкостей.
колатуда;DESCRIBES;дополнительный угол к широте, измеряемый от Северного полюса, а не от экватора, в сферических системах координат.
холодный резервуар;DESCRIBES;компонент термодинамической системы, поглощающий тепло при более низкой температуре, обычно используемый в тепловых двигателях и холодильниках для поддержания температурного градиента.
давление разрушения;DESCRIBES;минимальное внешнее давление, необходимое для возникновения структурного разрушения или потери устойчивости материала или системы, часто используется в исследованиях мембран и материалов.
свёрнутая конформация;DESCRIBES;Компактная структура молекулы, в которой полимер или белок сворачивается в плотную, часто глобулярную форму, обычно из-за гидрофобных взаимодействий или условий растворителя.
коллигативные свойства;DESCRIBES;свойства растворов, зависящие от соотношения частиц растворённого вещества и молекул растворителя, но не от их природы. Включают повышение температуры кипения, понижение температуры замерзания, снижение давления пара и осмотическое давление.
"свойство раствора, зависящее от соотношения частиц растворённого вещества и растворителя, но не от их природы;";CONTAINS;повышение температуры кипения, понижение температуры замерзания, понижение давления пара и осмотическое давление.
коллигативное свойство;DESCRIBES;"свойство раствора, зависящее от соотношения частиц растворённого вещества и растворителя, но не от их природы; включает повышение температуры кипения, понижение температуры замерзания, понижение давления пара и осмотическое давление."
столкновение;DESCRIBES;событие, при котором две или более частицы или тела вступают в контакт, обмениваясь энергией и импульсом, что часто приводит к изменению их состояний или траекторий.
сечение столкновения;DESCRIBES;эффективная площадь, количественно определяющая вероятность столкновения двух частиц, часто используется в кинетике газов и масс-спектрометрии.
плотность столкновений;DESCRIBES;количество молекулярных столкновений в единице объёма за единицу времени в газе или жидкости, важное для кинетики реакций.
диаметр столкновения;DESCRIBES;эффективный диаметр молекулы или частицы, участвующей в столкновении, часто используемый в кинетической теории для расчёта частоты столкновений и сечения столкновения.
поток столкновений;DESCRIBES;количество молекулярных столкновений на единицу площади за единицу времени в газе, важный параметр в кинетической теории и динамике реакций.
частота столкновений;DESCRIBES;среднее число столкновений в единицу времени между частицами в системе, зависящее от температуры, давления и размера молекул. Важна для кинетики реакций и динамики газовой фазы.
теория столкновений;DESCRIBES;теория, объясняющая скорость реакций, утверждая, что молекулы должны сталкиваться с достаточной энергией и правильной ориентацией для реакции.
уширение при столкновениях;DESCRIBES;уширение спектральных линий из-за столкновений частиц, сокращающих время жизни возбуждённого состояния и приводящих к неопределённости энергии испускаемого фотона. Описывается лоренцевой формой линии.
дезактивация при столкновениях;DESCRIBES;процесс, при котором возбуждённые молекулы теряют энергию в результате столкновений с другими молекулами, возвращаясь в состояние с меньшей энергией.
время между столкновениями;DESCRIBES;среднее время между столкновениями частиц в газе или плазме, влияющее на скорость реакций и процессы передачи энергии.
уширение линий из-за столкновений;DESCRIBES;уширение спектральных линий, вызванное столкновениями частиц, которые сокращают время жизни возбуждённых состояний и увеличивают неопределённость энергетических уровней.
столкновительно-индуцированное излучение;DESCRIBES;излучение света, возникающее в результате молекулярных столкновений, при которых передача энергии возбуждает молекулу, что приводит к испусканию фотона при релаксации.
коллоид;DESCRIBES;смесь, в которой одно вещество в виде микроскопически диспергированных нерастворимых частиц взвешено в другом веществе.
устойчивость коллоида;DESCRIBES;способность коллоидных частиц сопротивляться агрегации или осаждению из-за отталкивающих сил, часто обусловленных электростатическими, стерическими или гидратационными взаимодействиями.
цвет света;DESCRIBES;визуальное воспринимаемое свойство, соответствующее у человека категориям, называемым красный, синий, жёлтый и т.д., возникающее из спектра света, взаимодействующего с фоторецепторами глаза.
цвет металла;DESCRIBES;визуальный вид поверхности металла, определяемый его электронной структурой и взаимодействием со светом, часто проявляющий блестящий, отражающий блеск из-за подвижности свободных электронов.
вектор-столбец;DESCRIBES;матрица, состоящая из одного столбца элементов, часто используемая для представления векторов в линейной алгебре.
соединение;DESCRIBES;процесс, в котором два или более вещества реагируют с образованием одного продукта, часто с выделением энергии.
комбинационная полоса;DESCRIBES;спектральная особенность в колебательной спектроскопии, возникающая при одновременном возбуждении двух или более колебательных мод, проявляющаяся на частотах, являющихся суммами или разностями частот отдельных мод.
комбинационная разность;DESCRIBES;метод в спектроскопии для определения энергетических уровней путём анализа разностей между наблюдаемыми частотами спектральных линий.
объединённый газовый закон;DESCRIBES;газовый закон, объединяющий законы Шарля, Бойля и Гей-Люссака, описывающий связь между давлением, объёмом и температурой газа: P1V1/T1 = P2V2/T2, где P — давление, V — объём, T — температура в Кельвинах.
горение;DESCRIBES;быстрая химическая реакция между топливом и окислителем, обычно кислородом, сопровождающаяся выделением тепла и света в виде пламени.
анализ коммитора;DESCRIBES;вычислительный метод в химической физике для определения вероятности перехода системы из данного состояния в одно из двух устойчивых состояний, часто применяемый в исследованиях реакционных путей и переходных состояний.
коммутационное соотношение;DESCRIBES;математическое соотношение, выражающее разность между произведением двух операторов в разном порядке, фундаментальное в квантовой механике.
коммутатор;DESCRIBES;бинарная операция, измеряющая некоммутативность двух элементов в кольце или алгебре, определяемая как [A, B] = AB - BA.
конкурентное ингибирование;DESCRIBES;тип ингибирования ферментов, при котором ингибитор обратимо связывается с активным центром фермента, конкурируя с субстратом и снижая каталитическую эффективность. Может быть преодолено увеличением концентрации субстрата.
конкурентный ингибитор;DESCRIBES;вещество, снижающее активность фермента, связываясь с его активным центром и конкурируя с субстратом, обычно имея схожую с ним структуру.
принцип дополнительности;DESCRIBES;фундаментальный принцип квантовой механики, утверждающий, что объекты могут проявлять как волновые, так и корпускулярные свойства, но эти аспекты нельзя наблюдать одновременно. Введён Нильсом Бором.
дополнительные наблюдаемые;DESCRIBES;пара физических величин в квантовой механике, которые не могут быть одновременно измерены с произвольной точностью, что описывается принципом неопределённости Гейзенберга.
полное пренебрежение дифференциальным перекрыванием;DESCRIBES;полуэмпирический метод квантовой химии, упрощающий расчёты путём пренебрежения дифференциальным перекрыванием атомных орбиталей при аппроксимации молекулярных орбиталей.
комплекс;DESCRIBES;молекулярная структура, образованная объединением двух или более компонентов, часто включающая координационные связи между центральным ионом металла и окружающими лигандами.
комплексные коэффициенты;DESCRIBES;числовые коэффициенты в математических выражениях или уравнениях, являющиеся комплексными числами (с действительной и мнимой частью), часто используемые в физике и технике для описания волновых явлений, колебаний и квантовых состояний.
комплексно-сопряжённое число;DESCRIBES;пара комплексных чисел с одинаковыми действительными частями и мнимыми частями равной величины, но противоположных знаков, обозначаемых как z = a + bi и его сопряжённое z* = a - bi.
комплексное число;DESCRIBES;число, которое можно выразить в виде a + bi, где a и b — действительные числа, а i — мнимая единица, удовлетворяющая условию i² = -1.
комплексная плоскость;DESCRIBES;геометрическое представление комплексных чисел, где действительная часть откладывается по оси x, а мнимая — по оси y, образуя двумерную плоскость.
компонент;DESCRIBES;отдельное химическое вещество в смеси или системе, отличающееся своими уникальными физическими или химическими свойствами.
кривая состава;DESCRIBES;графическое представление зависимости состава смеси от определённого свойства, например, температуры или давления, часто используемое в исследованиях фазового равновесия для анализа поведения многокомпонентных систем.
диаграмма состава;DESCRIBES;графическое представление зависимости физических или химических свойств смеси от её состава, часто используемое в исследованиях фазового равновесия для иллюстрации поведения многокомпонентных систем.
сложный полупроводник;DESCRIBES;полупроводниковый материал, состоящий из двух или более элементов из разных групп периодической таблицы, обладающий свойствами, промежуточными между изоляторами и проводниками.
фактор сжимаемости;DESCRIBES;безразмерный параметр, определяемый как Z = PV/(nRT), где P — давление, V — объём, n — количество вещества, R — универсальная газовая постоянная, T — температура. Характеризует отклонение реального газа от идеального.
сжатие;DESCRIBES;уменьшение объёма и увеличение давления вещества под действием приложенных сил, часто приводящее к сокращению межмолекулярных расстояний.
коэффициент сжимаемости;DESCRIBES;безразмерная величина в термодинамике, описывающая отклонение реального газа от поведения идеального газа, определяемая как Z = PV/(nRT), где P — давление, V — объём, n — количество вещества, R — газовая постоянная, T — температура.
неупругое рассеяние фотона на заряженной частице, обычно электроне, приводящее к уменьшению энергии (увеличению длины волны) фотона и передаче энергии частице. демонстрирует корпускулярную природу света и;IS_A;ключевым явлением в квантовой механике.
комптоновское рассеяние;DESCRIBES;неупругое рассеяние фотона на заряженной частице, обычно электроне, приводящее к уменьшению энергии (увеличению длины волны) фотона и передаче энергии частице. Демонстрирует корпускулярную природу света и является ключевым явлением в квантовой механике.
вычислительная химия;DESCRIBES;раздел химии, использующий компьютерное моделирование для решения химических задач, включая молекулярное моделирование, квантовую механику и молекулярную динамику.
концентрированный раствор;DESCRIBES;раствор, содержащий большое количество растворённого вещества по отношению к растворителю, часто близкое к его максимальной растворимости в данных условиях, что приводит к высокой концентрации и значительному химическому потенциалу.
концентрация;DESCRIBES;количество вещества в определённом объёме, обычно выражаемое как масса на единицу объёма или количество молей на единицу объёма.
концентрационный элемент;DESCRIBES;электрохимический элемент, вырабатывающий электрическую энергию за счёт разницы концентраций одного и того же электролита в двух полуэлементах без протекания химической реакции.
концентрационная зависимость;DESCRIBES;зависимость между концентрацией вещества и его влиянием на физическое или химическое свойство или процесс.
эффект концентрации;DESCRIBES;Влияние концентрации реагентов или продуктов на скорость или равновесие химической реакции, описываемое кинетикой реакций или термодинамическими принципами.
градиент концентрации;DESCRIBES;постепенное изменение концентрации растворённых веществ в растворе в зависимости от расстояния, часто являющееся движущей силой процессов диффузии.
график зависимости концентрации от времени;DESCRIBES;график, показывающий изменение концентрации реагента или продукта во времени в ходе химической реакции, используемый для анализа кинетики реакции и определения законов скорости.
концентрационно-зависимый период полураспада;DESCRIBES;время, необходимое для уменьшения концентрации вещества вдвое из-за процессов, таких как метаболизм или выведение, причём скорость процесса зависит от текущей концентрации вещества.
конденсация;DESCRIBES;физический процесс перехода газа или пара в жидкое состояние, обычно из-за охлаждения или сжатия, с выделением скрытой теплоты. Важный этап в круговороте воды и промышленных процессах, таких как дистилляция.
процесс полимеризации, при котором мономеры реагируют с образованием полимеров, выделяя побочные продукты, например, воду или метанол. обычно;CONTAINS;ступенчатый механизм роста и используется для получения таких материалов, как полиэфиры и полиамиды.
поликонденсация;DESCRIBES;процесс полимеризации, при котором мономеры реагируют с образованием полимеров, выделяя побочные продукты, например, воду или метанол. Обычно включает ступенчатый механизм роста и используется для получения таких материалов, как полиэфиры и полиамиды.
реакция конденсации;DESCRIBES;химическая реакция, в которой две молекулы соединяются, образуя более крупную молекулу, с выделением малой молекулы, например воды или метанола.
условия на;DESCRIBES;конкретные параметры или настройки, при которых происходит процесс, эксперимент или функционирует система, часто влияющие на результаты или поведение.
проводимость;DESCRIBES;мера способности материала проводить электрический ток, определяемая как величина, обратная сопротивлению, и выражаемая в сименсах (См).
зона проводимости;DESCRIBES;диапазон энергетических уровней электронов в твёрдом теле, где электроны могут свободно перемещаться, обеспечивая электропроводность.
проводящие полимеры;DESCRIBES;класс органических полимеров, проводящих электричество благодаря сопряжённым двойным связям вдоль цепи, обеспечивающим делокализацию заряда. Объединяют свойства пластиков и металлов, применяются в гибкой электронике, сенсорах и антистатических материалах.
электропроводность;DESCRIBES;мера способности материала проводить электрический ток, обычно выражаемая в сименсах на метр (См/м). Зависит от концентрации, подвижности и заряда носителей заряда в материале.
кондуктометрия;DESCRIBES;аналитический метод, измеряющий электропроводность раствора для определения концентрации ионов, часто используемый в титровании и мониторинге химических реакций.
конфигурация;DESCRIBES;пространственное расположение атомов в молекуле, определяющее её физические и химические свойства.
конфигурационный интеграл;DESCRIBES;концепция статистической механики, представляющая интеграл по всем возможным положениям частиц в системе, используемая для расчёта статистических сумм и термодинамических свойств.
конфигурационное пространство;DESCRIBES;математическое пространство, представляющее все возможные положения или состояния физической системы, где каждая точка соответствует уникальной конфигурации её компонентов, часто используемое в классической и квантовой механике для описания динамики системы.
конфигурационная энтропия;DESCRIBES;мера числа микроскопических конфигураций, которые термодинамическая система может иметь при сохранении макроскопического состояния, часто используется в статистической механике для описания беспорядка в молекулярных расположениях.
конфигурационная статистика;DESCRIBES;изучение распределения и вероятности различных молекулярных конфигураций в системе, часто применяется для анализа конформаций полимеров и фазового поведения.
ограниченное движение;DESCRIBES;ограниченное перемещение частиц или молекул в пределах ограниченного пространства или объёма, часто из-за физических или химических ограничений.
конформационный;DESCRIBES;относящийся к пространственному расположению атомов в молекуле, которое может изменяться без разрыва связей, часто влияя на свойства и реакционную способность молекулы.
конформационные изменения;DESCRIBES;структурные перестройки в молекуле, например, белках или нуклеиновых кислотах, вызванные вращением вокруг одинарных связей, приводящие к разным пространственным конфигурациям без разрыва ковалентных связей. Важны для биологических функций, таких как активность ферментов и передача сигналов.
конформационная энтропия;DESCRIBES;энтропия, связанная с количеством возможных конформаций молекулы, отражающая её гибкость и беспорядок в различных пространственных расположениях.
путаница между теплотой и температурой;DESCRIBES;распространённое заблуждение, при котором теплоту (перенос энергии из-за разницы температур) ошибочно отождествляют с температурой (мерой интенсивности тепловой энергии). Теплота зависит от массы и материала, а температура — интенсивная величина.
конгруэнтное плавление;DESCRIBES;тип плавления, при котором твёрдая фаза превращается непосредственно в жидкую фазу того же состава без изменения химических компонентов.
сопряжённые переменные;DESCRIBES;Пары переменных в физике и химии, связанные принципом неопределённости, например, координата и импульс или энергия и время, где точное знание одной ограничивает точность другой.
последовательные реакции;DESCRIBES;серия химических реакций, в которых продукт одной реакции становится реагентом следующей, образуя последовательный путь.
закон сохранения энергии;DESCRIBES;фундаментальный принцип, утверждающий, что полная энергия в изолированной системе остаётся постоянной, хотя может изменяться её форма, например, кинетическая в потенциальную.
сохранение импульса;DESCRIBES;фундаментальный принцип, утверждающий, что полный импульс замкнутой системы остаётся постоянным при отсутствии внешних сил.
критическая температура смешения;DESCRIBES;критическая температура, выше которой две частично смешивающиеся жидкости становятся полностью смешиваемыми в любых пропорциях.
константа;DESCRIBES;величина, не изменяющая своего значения при заданных условиях, часто используемая в уравнениях для представления фиксированных значений или универсальных физических величин.
теплоёмкость при постоянном давлении;DESCRIBES;количество теплоты, необходимое для повышения температуры вещества на один градус Цельсия при постоянном давлении, обозначается как Cp. Важное термодинамическое свойство, описывающее энергетические изменения в системах при изобарных условиях.
постоянная температура;DESCRIBES;условие, при котором температура системы остаётся неизменной во времени, обычно поддерживаемое балансом подвода и отвода тепла, часто используется в термодинамических экспериментах для изучения изотермических процессов.
теплоёмкость при постоянном объёме;DESCRIBES;количество теплоты, необходимое для нагревания вещества на один градус Цельсия при постоянном объёме, отражающее изменение внутренней энергии без совершения работы расширения.
режим постоянной силы;DESCRIBES;режим в атомно-силовой микроскопии, при котором сила между зондом и образцом поддерживается постоянной во время сканирования, что позволяет точно измерять топографию поверхности.
калориметр с постоянным давлением для пламени;DESCRIBES;устройство, измеряющее тепло, выделяемое при горении при постоянном давлении, используемое для определения изменений энтальпии в химических реакциях.
калориметр с постоянным объёмом (бомбовый калориметр);DESCRIBES;устройство для измерения теплоты сгорания вещества при постоянном объёме, обычно включающее герметичную камеру (бомбу), погружённую в воду для поглощения выделяемой энергии.
ограниченный;DESCRIBES;ограниченный или ограниченный физическими, химическими или математическими условиями в системе или процессе.
ограниченная цепь;DESCRIBES;полимерная цепь, движение которой ограничено физическими или химическими связями, что влияет на её динамику и свойства.
конструктивная интерференция;DESCRIBES;явление, при котором две или более волн объединяются, создавая результирующую волну с большей амплитудой, когда их фазы совпадают.
краевой угол;DESCRIBES;угол между каплей жидкости и поверхностью твёрдого тела в точке контакта, измеряемый через жидкость. Характеризует смачиваемость поверхности: меньшие углы означают лучшее смачивание.
контактное взаимодействие;DESCRIBES;краткодействующее взаимодействие между частицами или молекулами, возникающее при их непосредственном физическом контакте, часто включающее силы Ван-дер-Ваальса или водородные связи.
контактный режим;DESCRIBES;метод сканирующей зондовой микроскопии, при котором кантилевер постоянно находится в контакте с поверхностью образца, обеспечивая высокое разрешение, но потенциально повреждая образец.
контурная длина;DESCRIBES;полная длина полимерной цепи, измеренная вдоль её осевой линии, включая все связи и мономеры, без учёта свёртывания или изгибов.
контурный график;DESCRIBES;графическое представление трёхмерной поверхности на двумерной плоскости, где линии соединяют точки с равными значениями (контуры), визуализируя форму и градиент поверхности. Часто используется в науке и технике для отображения данных, таких как высота, температура или градиенты концентрации.
вклады;DESCRIBES;отдельные части или элементы, которые в совокупности образуют целое, часто используются в контексте научных исследований или совместной работы.
конвекция;DESCRIBES;передача тепла за счёт движения жидкости или газа, вызванного разницей температур и плотностей, что приводит к циркуляции и распределению тепловой энергии.
соглашение;DESCRIBES;широко принятая практика, метод или стандарт в определённой области, часто установленный соглашением или традицией.
