en_term;en_definition;ru_term;ru_definition
cycle life;the number of complete charge and discharge cycles a battery can undergo before its capacity falls below a specified percentage of its original capacity, typically 80%.;ресурс циклов;количество полных циклов заряда и разряда аккумулятора до снижения его ёмкости ниже заданного процента от исходной, обычно 80%.
cyclic;pertaining to or characterized by a closed ring structure in molecules, often involving carbon atoms.;циклический;относящийся к замкнутой кольцевой структуре молекул, часто включающей атомы углерода.
cyclic boundary condition;a periodic boundary condition where the system's end is connected to its beginning, often used in simulations to mimic infinite systems.;циклическое граничное условие;периодическое граничное условие, при котором конец системы соединён с её началом, часто используется в моделировании для имитации бесконечных систем.
cyclic hydrocarbons;hydrocarbons with carbon atoms arranged in a closed ring structure, which can be saturated (cycloalkanes) or unsaturated (cycloalkenes, cycloalkynes).;циклические углеводороды;углеводороды, в которых атомы углерода образуют замкнутую кольцевую структуру, могут быть насыщенными (циклоалканы) или ненасыщенными (циклоалкены, циклоалкины).
cyclic voltammetry;an electrochemical technique that measures current as a function of applied potential, cycling the potential of a working electrode linearly with time to study redox processes.;циклическая вольтамперометрия;электрохимический метод, измеряющий ток в зависимости от приложенного потенциала, циклически изменяя потенциал рабочего электрода для изучения окислительно-восстановительных процессов.
cyclobutadiene;a highly reactive organic compound with the formula C4H4, consisting of a square planar ring of four carbon atoms, each bonded to one hydrogen atom. It is the simplest [n]-annulene and exhibits antiaromaticity due to its 4π-electron system, making it unstable and difficult to isolate.;циклобутадиен;высокореакционноспособное органическое соединение с формулой C4H4, состоящее из квадратной плоской структуры из четырёх атомов углерода, каждый из которых связан с одним атомом водорода. Простейший [n]-аннулен, проявляющий антиароматичность из-за 4π-электронной системы, что делает его нестабильным.
cyclooctatetraene;a cyclic hydrocarbon with the formula C8H8, consisting of an eight-membered ring with alternating single and double bonds, known for its tub-shaped geometry and non-aromatic character.;циклооктатетраен;циклический углеводород с формулой C8H8, состоящий из восьмичленного кольца с чередующимися одинарными и двойными связями, известный своей тубовидной геометрией и неароматическим характером.
cylindrical coordinates;a 3D coordinate system that specifies point positions by radial distance, azimuthal angle, and height from a reference plane, often used in physics and engineering for problems with cylindrical symmetry.;цилиндрические координаты;трёхмерная система координат, задающая положение точки через радиальное расстояние, азимутальный угол и высоту от опорной плоскости, часто применяется в физике и технике для задач с цилиндрической симметрией.
d atom configurations;electron arrangements in transition metal atoms where d-orbitals are partially filled, influencing chemical properties and reactivity.;d-электронные конфигурации;распределение электронов в атомах переходных металлов, где d-орбитали частично заполнены, что влияет на химические свойства и реакционную способность.
d lines;a pair of closely spaced spectral lines in the yellow region of the sodium emission spectrum, often used as wavelength standards in spectroscopy.;d-линии;пара близко расположенных спектральных линий в жёлтой области спектра излучения натрия, часто используемых в качестве стандартов длины волны в спектроскопии.
d orbital;a type of atomic orbital with a complex shape, characterized by angular momentum quantum number l=2, involved in transition metal chemistry and bonding.;d-орбиталь;тип атомной орбитали со сложной формой, характеризуемый орбитальным квантовым числом l=2, участвующий в химии переходных металлов и образовании связей.
dalton's;a unit of mass equal to one-twelfth the mass of a carbon-12 atom, approximately 1.66053906660 × 10⁻²⁷ kg, used in chemistry and physics to express atomic and molecular masses.;дальтон;единица массы, равная одной двенадцатой массы атома углерода-12, примерно 1,66053906660 × 10⁻²⁷ кг, используемая в химии и физике для выражения атомных и молекулярных масс.
Dalton's law;a gas law stating that the total pressure exerted by a mixture of non-reacting gases is equal to the sum of the partial pressures of individual gases.;закон Дальтона;газовый закон, утверждающий, что общее давление смеси невзаимодействующих газов равно сумме парциальных давлений отдельных газов.
daniel cell;an early type of electrochemical cell consisting of a copper pot filled with copper sulfate solution and a zinc electrode in dilute sulfuric acid, separated by a porous barrier, which produces a steady current by redox reactions.;элемент Даниэля;ранний тип гальванического элемента, состоящий из медного сосуда с раствором сульфата меди и цинкового электрода в разбавленной серной кислоте, разделённых пористой перегородкой, генерирующий постоянный ток за счёт окислительно-восстановительных реакций.
davies;a method for calculating activity coefficients in electrolyte solutions, accounting for ionic strength effects.;метод Дэвиса;метод расчёта коэффициентов активности в растворах электролитов, учитывающий влияние ионной силы.
davies equation;An empirical equation used to estimate activity coefficients of ions in electrolyte solutions, accounting for ionic strength effects beyond the Debye-Hückel limiting law.;уравнение Дэвиса;Эмпирическое уравнение для оценки коэффициентов активности ионов в растворах электролитов, учитывающее влияние ионной силы за пределами предельного закона Дебая-Хюккеля.
Davisson C.;Clinton Davisson, American physicist who shared the 1937 Nobel Prize in Physics for discovering electron diffraction, confirming the wave nature of particles.;Дэвиссон К.;Клинтон Дэвиссон, американский физик, лауреат Нобелевской премии по физике 1937 года за открытие дифракции электронов, подтвердившее волновую природу частиц.
Davisson–Germer experiment;A landmark experiment demonstrating electron diffraction, confirming the wave-particle duality of matter and supporting de Broglie's hypothesis.;Эксперимент Дэвиссона-Джермера;Ключевой эксперимент, демонстрирующий дифракцию электронов, подтверждающий корпускулярно-волновой дуализм материи и гипотезу де Бройля.
davydov splitting;the splitting of exciton energy levels in molecular crystals due to intermolecular interactions, named after Soviet physicist Alexander Davydov.;расщепление Давыдова;расщепление уровней энергии экситонов в молекулярных кристаллах из-за межмолекулярных взаимодействий, названное в честь советского физика Александра Давыдова.
day;a unit of time equal to 24 hours, representing the period of one rotation of Earth on its axis.;день;единица времени, равная 24 часам, представляющая период одного оборота Земли вокруг своей оси.
d-d transition;electronic transition between d-orbitals in a transition metal ion, often responsible for color in coordination compounds.;d-d переход;электронный переход между d-орбиталями в ионе переходного металла, часто ответственный за окраску координационных соединений.
de broglie equation;a fundamental equation in quantum mechanics that describes the wave-like behavior of particles, stating that the wavelength (λ) of a particle is inversely proportional to its momentum (p), given by λ = h/p, where h is Planck's constant. This equation bridges the gap between classical and quantum physics by introducing the concept of matter waves.;уравнение де Бройля;фундаментальное уравнение квантовой механики, описывающее волновое поведение частиц: длина волны (λ) обратно пропорциональна импульсу (p), λ = h/p, где h — постоянная Планка. Уравнение связывает классическую и квантовую физику, вводя понятие волн материи.
de Broglie relation;a fundamental equation in quantum mechanics stating that the wavelength of a particle is inversely proportional to its momentum, λ = h/p, where h is Planck's constant and p is momentum.;соотношение де Бройля;фундаментальное уравнение квантовой механики, утверждающее, что длина волны частицы обратно пропорциональна её импульсу, λ = h/p, где h — постоянная Планка, а p — импульс.
de broglie wavelength;the wavelength associated with a particle, given by λ = h/p, where h is Planck's constant and p is the particle's momentum. It demonstrates wave-particle duality in quantum mechanics.;длина волны де Бройля;длина волны, связанная с частицей, определяемая как λ = h/p, где h — постоянная Планка, а p — импульс частицы. Демонстрирует корпускулярно-волновой дуализм в квантовой механике.
debye (heat capacity);a unit of heat capacity in the CGS system, commonly used in physics and chemistry to express molar heat capacity of solids at low temperatures.;дебой (теплоемкость);единица теплоемкости в системе СГС, часто используемая в физике и химии для выражения молярной теплоемкости твердых тел при низких температурах.
debye (polarization);a unit of electric dipole moment in the CGS system, equal to 10^-18 statcoulomb-centimeters, used to measure molecular polarity.;дебей (поляризация);единица электрического дипольного момента в системе СГС, равная 10^-18 статкулон-сантиметров, используемая для измерения полярности молекул.
debye equation;an equation describing the frequency dependence of the dielectric constant in polar materials, accounting for dipole relaxation in alternating electric fields.;уравнение Дебая;уравнение, описывающее частотную зависимость диэлектрической проницаемости в полярных материалах, учитывающее релаксацию диполей в переменных электрических полях.
Debye formula (heat capacity);A theoretical model describing the temperature dependence of the heat capacity of solids, especially at low temperatures, based on quantum mechanical principles.;Формула Дебая (теплоёмкость);Теоретическая модель, описывающая температурную зависимость теплоёмкости твёрдых тел, особенно при низких температурах, основанная на квантовомеханических принципах.
Debye screening length;the characteristic distance over which mobile charge carriers (e.g., electrons or ions) screen out electric fields in plasmas, electrolytes, or semiconductors.;дебаевская длина экранирования;характерное расстояние, на котором подвижные носители заряда (например, электроны или ионы) экранируют электрические поля в плазме, электролитах или полупроводниках.
Debye temperature;a characteristic temperature in solid-state physics, representing the maximum vibrational frequency of atoms in a crystal lattice, used to describe thermal properties like heat capacity.;температура Дебая;характеристическая температура в физике твёрдого тела, представляющая максимальную частоту колебаний атомов в кристаллической решётке, используемая для описания тепловых свойств, таких как теплоёмкость.
Debye-Bueche theory;A theory describing light scattering by inhomogeneous media, accounting for spatial fluctuations in dielectric constant due to density or concentration variations.;теория Дебая-Бюше;Теория, описывающая рассеяние света в неоднородных средах, учитывающая пространственные флуктуации диэлектрической проницаемости из-за вариаций плотности или концентрации.
Debye-Falkenhagen effect;An electrochemical phenomenon where the dielectric relaxation of a solvent affects the conductivity of electrolyte solutions at high frequencies due to ion-solvent interactions.;эффект Дебая-Фалькенгагена;Электрохимическое явление, при котором диэлектрическая релаксация растворителя влияет на проводимость растворов электролитов на высоких частотах из-за взаимодействий ионы-растворитель.
debye–hückel limiting law;a theory describing the behavior of dilute electrolyte solutions, relating ionic strength to activity coefficients of ions in solution.;предельный закон Дебая-Хюккеля;теория, описывающая поведение разбавленных растворов электролитов, связывающая ионную силу с коэффициентами активности ионов в растворе.
debye-hückel theory;a theoretical framework describing the behavior of electrolytes in dilute solutions, accounting for ionic interactions via screening effects from surrounding ions, leading to deviations from ideal behavior and influencing properties like activity coefficients.;теория Дебая-Хюккеля;теоретическая модель, описывающая поведение электролитов в разбавленных растворах, учитывающая ионные взаимодействия через экранирующие эффекты соседних ионов, что приводит к отклонениям от идеального поведения влияет на такие свойства, как коэффициенты активности.
Debye-Scherrer method;a powder diffraction technique for analyzing crystalline materials by measuring diffraction patterns from polycrystalline samples using X-rays.;метод Дебая-Шеррера;метод порошковой дифракции для анализа кристаллических материалов, измеряющий картины дифракции от поликристаллических образцов с использованием рентгеновских лучей.
Debye-Waller factor;A measure of thermal vibration or disorder in a crystal lattice, quantifying the reduction in diffraction intensity due to atomic motion.;фактор Дебая-Уоллера;Мера тепловых колебаний или беспорядка в кристаллической решётке, определяющая уменьшение интенсивности дифракции из-за движения атомов.
decay;the process by which an unstable atomic nucleus loses energy by emitting radiation, leading to the transformation of the nucleus into a different nuclide or energy state.;распад;процесс, при котором нестабильное атомное ядро теряет энергию, испуская излучение, что приводит к превращению ядра в другой нуклид или энергетическое состояние.
decay rate;the rate at which a quantity decreases over time, often used to describe radioactive decay or chemical reactions.;скорость распада;скорость, с которой величина уменьшается со временем, часто используется для описания радиоактивного распада или химических реакций.
decomposition (representation);the process of breaking down a complex system or representation into simpler, more manageable components or sub-systems for analysis or understanding.;разложение (представление);процесс разложения сложной системы или представления на более простые, управляемые компоненты или подсистемы для анализа или понимания.
definite integral;a mathematical concept representing the signed area under a curve between two points, calculated as the limit of a sum of infinitesimal elements.;определённый интеграл;математическое понятие, представляющее знаковую площадь под кривой между двумя точками, вычисляемую как предел суммы бесконечно малых элементов.
degeneracy;the number of different quantum states of a system that have the same energy level, often occurring in atoms, molecules, or crystals due to symmetry.;вырождение;количество различных квантовых состояний системы, имеющих одинаковый уровень энергии, часто возникающее в атомах, молекулах или кристаллах из-за симметрии.
degenerate eigenvalues;eigenvalues of a matrix or operator that are identical, corresponding to multiple linearly independent eigenvectors, often occurring in systems with high symmetry or identical energy levels in quantum mechanics.;вырожденные собственные значения;одинаковые собственные значения матрицы или оператора, соответствующие нескольким линейно независимым собственным векторам, часто встречаются в системах с высокой симметрией или одинаковыми уровнями энергии в квантовой механике.
degenerate normal modes;normal modes of vibration in a molecule that have the same frequency but different spatial orientations, often due to molecular symmetry.;вырожденные нормальные моды;нормальные моды колебаний в молекуле, имеющие одинаковую частоту, но разную пространственную ориентацию, часто из-за симметрии молекулы.
degenerate perturbation theory;a method in quantum mechanics to approximate solutions for systems with degenerate energy levels by introducing perturbations that lift degeneracy and allow calculation of corrected energies and states.;теория возмущений для вырожденных уровней;метод в квантовой механике для приближённого решения систем с вырожденными уровнями энергии путём введения возмущений, снимающих вырождение и позволяющих вычислять скорректированные энергии и состояния.
degradation;the process by which a chemical compound breaks down into simpler substances, often due to environmental factors like heat, light, or chemical reactions.;деградация;процесс, при котором химическое соединение распадается на более простые вещества, часто под воздействием факторов окружающей среды, таких как тепло, свет или химические реакции.
degree of polymerization;the number of monomer units in a polymer chain, indicating its size and molecular weight.;степень полимеризации;количество мономерных звеньев в полимерной цепи, характеризующее её размер и молекулярную массу.
degrees of freedom;the number of independent variables or parameters that can vary in a system without violating any constraints, often used in statistical mechanics to describe the number of ways a molecule can store energy.;степени свободы;количество независимых переменных или параметров, которые могут изменяться в системе без нарушения ограничений, часто используется в статистической механике для описания способов хранения энергии молекулой.
delocalization;the phenomenon in which electrons are not associated with a single atom or covalent bond but are spread over several atoms or a molecule, often leading to increased stability. Common in conjugated systems and aromatic compounds.;делокализация;явление, при котором электроны не связаны с одним атомом или ковалентной связью, а распределены по нескольким атомам или молекуле, что часто повышает устойчивость. Характерно для сопряжённых систем и ароматических соединений.
delocalization energy;the additional stability of a molecule due to the delocalization of electrons, often calculated as the difference between the energy of the delocalized system and a hypothetical localized structure.;энергия делокализации;дополнительная стабильность молекулы, обусловленная делокализацией электронов, часто рассчитываемая как разность энергий делокализованной системы и гипотетической локализованной структуры.
delta-scale;a scale used in NMR spectroscopy to measure chemical shifts relative to a standard reference compound, typically tetramethylsilane (TMS).;дельта-шкала;шкала, используемая в ЯМР-спектроскопии для измерения химических сдвигов относительно стандартного референсного соединения, обычно тетраметилсилана (ТМС).
Dember effect;a voltage generation due to unequal diffusion rates of electrons and holes in a semiconductor, caused by illumination with light of sufficient energy.;эффект Дембера;возникновение напряжения из-за неравных скоростей диффузии электронов и дырок в полупроводнике при его освещении светом достаточной энергии.
density;a physical property of a substance defined as its mass per unit volume, typically measured in kilograms per cubic meter (kg/m³) or grams per cubic centimeter (g/cm³). It is a key parameter in determining buoyancy, purity, and material composition.;плотность;физическая характеристика вещества, определяемая как его масса на единицу объёма, обычно измеряется в кг/м³ или г/см³. Важный параметр для определения плавучести, чистоты и состава материала.
density functional;a mathematical function that describes the electron density distribution in a quantum mechanical system, used in DFT to calculate electronic structure properties.;функционал плотности;математическая функция, описывающая распределение электронной плотности в квантовомеханической системе, используемая в теории функционала плотности для расчёта свойств электронной структуры.
density functional theory;a computational quantum mechanical modeling method used to investigate the electronic structure of many-body systems, especially atoms, molecules, and condensed phases.;теория функционала плотности;вычислительный метод квантовой механики, используемый для исследования электронной структуры многочастичных систем, особенно атомов, молекул и конденсированных фаз.
density of states;the number of electronic states per unit energy interval in a solid, crucial for understanding electronic and thermal properties.;плотность состояний;количество электронных состояний на единичный интервал энергии в твёрдом теле, важное для понимания электронных и тепловых свойств.
density operator;a mathematical operator in quantum mechanics that describes the statistical state of a quantum system, encapsulating probabilities of pure states and coherence between them. It generalizes the concept of a wave function to mixed states.;оператор плотности;математический оператор в квантовой механике, описывающий статистическое состояние квантовой системы, учитывая вероятности чистых состояний и когерентность между ними. Обобщает понятие волновой функции на смешанные состояния.
dependence;a relationship between variables where a change in one variable results in a corresponding change in another variable.;зависимость;связь между переменными, при которой изменение одной переменной приводит к соответствующему изменению другой переменной.
dependence on pressure;the relationship between a physical or chemical property and the pressure applied to a system, often described by equations of state or thermodynamic principles.;зависимость от давления;связь между физическим или химическим свойством и давлением, приложенным к системе, часто описываемая уравнениями состояния или термодинамическими принципами.
depolarization ratio;the ratio of the intensity of light scattered perpendicular to the plane of polarization to that scattered parallel to it, used in Raman spectroscopy to study molecular symmetry.;коэффициент деполяризации;отношение интенсивности света, рассеянного перпендикулярно плоскости поляризации, к интенсивности света, рассеянного параллельно ей, используемое в рамановской спектроскопии для изучения симметрии молекул.
depolarized line;a spectral line whose polarization state is altered or randomized, often due to scattering or interaction with a medium, leading to a loss of original polarization.;деполяризованная линия;спектральная линия, чьё состояние поляризации изменено или рандомизировано, обычно из-за рассеяния или взаимодействия со средой, что приводит к потере исходной поляризации.
depression of freezing point;the decrease in the freezing point of a solvent caused by the addition of a solute, proportional to the solute's molality.;понижение температуры замерзания;снижение температуры замерзания растворителя, вызванное добавлением растворённого вещества, пропорциональное его моляльности.
derived unit;a unit of measurement obtained by combining base units through multiplication or division, used to express derived quantities in the International System of Units (SI).;производная единица;единица измерения, полученная путём комбинирования основных единиц через умножение или деление, используемая для выражения производных величин в Международной системе единиц (СИ).
Derjaguin approximation;a method in surface science to calculate interaction forces between curved surfaces by integrating pairwise interactions between small surface elements.;приближение Дерягина;метод в науке о поверхностях для расчёта сил взаимодействия между искривлёнными поверхностями путём интегрирования парных взаимодействий между малыми элементами поверхности.
deshielded;a nucleus in NMR spectroscopy experiencing reduced electron density, leading to a downfield shift in its resonance frequency due to nearby electronegative atoms or magnetic anisotropy.;деэкранированный;ядро в ЯМР-спектроскопии, испытывающее пониженную электронную плотность, что приводит к сдвигу резонансной частоты в слабое поле из-за близости электроотрицательных атомов или магнитной анизотропии.
designing pharmaceuticals;the process of creating and optimizing drug compounds to achieve desired therapeutic effects while minimizing side effects, involving molecular modeling, structure-activity relationships, and clinical testing.;разработка фармацевтических препаратов;процесс создания и оптимизации лекарственных соединений для достижения желаемого терапевтического эффекта с минимизацией побочных действий, включая молекулярное моделирование, изучение структура-активность и клинические испытания.
desorption;the process by which a substance is released from or through a surface, the reverse of adsorption or absorption.;десорбция;процесс, при котором вещество высвобождается с поверхности или через неё, обратный адсорбции или абсорбции.
destructive interference;the superposition of waves where crests and troughs align to reduce or cancel amplitude, resulting in diminished or zero wave intensity.;деструктивная интерференция;наложение волн, при котором гребни и впадины совпадают, что приводит к уменьшению или полному исчезновению амплитуды и интенсивности волны.
detailed balance;a principle in statistical mechanics stating that, at equilibrium, the rate of every microscopic process is equal to the rate of its reverse process, ensuring no net flow occurs in any direction.;детальное равновесие;принцип в статистической механике, утверждающий, что в равновесии скорость каждого микроскопического процесса равна скорости обратного процесса, что исключает чистый поток в любом направлении.
detector;a device or instrument designed to identify, measure, or record the presence of a particular substance, particle, or physical phenomenon.;детектор;устройство или инструмент, предназначенный для обнаружения, измерения или регистрации наличия определённого вещества, частицы или физического явления.
determinant;a scalar value that can be computed from the elements of a square matrix and encodes certain properties of the linear transformation described by the matrix.;определитель;скалярная величина, вычисляемая из элементов квадратной матрицы и отражающая свойства линейного преобразования, описываемого этой матрицей.
determinant equation;a mathematical equation involving determinants, typically used to solve systems of linear equations or to find eigenvalues and eigenvectors in linear algebra.;определительное уравнение;математическое уравнение, включающее определители, обычно используемое для решения систем линейных уравнений или нахождения собственных значений и векторов в линейной алгебре.
determination;the process of establishing the exact quantity, composition, or nature of a substance or phenomenon through measurement or analysis.;определение;процесс установления точного количества, состава или природы вещества или явления посредством измерения или анализа.
deuterated solvents;solvents in which hydrogen atoms have been replaced by deuterium, used primarily in NMR spectroscopy to avoid interference from proton signals.;дейтерированные растворители;"растворители, в которых атомы водорода заменены на дейтерий; применяются в ЯМР-спектроскопии, чтобы избежать помех от сигналов протонов."
deuteration;the process of replacing hydrogen atoms with deuterium atoms in a molecule, often used in isotopic labeling for studying chemical and biological processes.;дейтерирование;процесс замены атомов водорода на атомы дейтерия в молекуле, часто используемый в изотопном мечении для изучения химических и биологических процессов.
dh;a parameter related to the thermodynamic properties of a system, often used in chemistry to describe enthalpy differences or changes in heat content under constant pressure conditions.;энтальпия;параметр, связанный с термодинамическими свойствами системы, часто используемый в химии для описания разницы энтальпии или изменений теплосодержания при постоянном давлении.
diagonal onsager coefficients;quantities in the Onsager reciprocal relations that describe the direct coupling between fluxes and forces in nonequilibrium thermodynamics, representing the linear response coefficients along the principal axes of the system.;диагональные коэффициенты Онзагера;величины в соотношениях Онзагера, описывающие прямую связь между потоками и силами в неравновесной термодинамике, представляющие коэффициенты линейного отклика вдоль главных осей системы.
diagonalization;the process of transforming a matrix into a diagonal form by finding a basis where the matrix representation is diagonal, often involving eigenvalues and eigenvectors.;диагонализация;процесс преобразования матрицы в диагональную форму путём нахождения базиса, в котором матричное представление является диагональным, часто с использованием собственных значений и векторов.
diagram;"a simplified drawing showing the appearance, structure, or workings of something; a schematic representation.";диаграмма;"упрощённый рисунок, показывающий внешний вид, структуру или принцип работы чего-либо; схематическое представление."
dialysis;a process of separating molecules in a solution by diffusion through a semipermeable membrane, based on size differences.;диализ;процесс разделения молекул в растворе путём диффузии через полупроницаемую мембрану, основанный на различиях в размерах.
diamagnetic;a material that creates a weak, opposing magnetic field when exposed to an external magnetic field, causing it to be repelled by the field.;диамагнетик;материал, который создаёт слабое противоположное магнитное поле при воздействии внешнего магнитного поля, что приводит к его отталкиванию от поля.
diamagnetic contribution;the part of a material's magnetic susceptibility arising from the induced magnetic moments opposing the applied magnetic field, typical in diamagnetic substances.;диамагнитный вклад;часть магнитной восприимчивости материала, обусловленная наведёнными магнитными моментами, направленными против приложенного магнитного поля, характерная для диамагнитных веществ.
diamond structure;a crystal structure where each carbon atom is tetrahedrally bonded to four others, forming a 3D lattice, characteristic of diamond.;структура алмаза;кристаллическая структура, в которой каждый атом углерода тетраэдрически связан с четырьмя другими, образуя трёхмерную решётку, характерную для алмаза.
diathermic boundary;a boundary that allows heat transfer between systems while preventing the exchange of matter.;диатермическая граница;граница, которая позволяет передачу тепла между системами, но препятствует обмену веществом.
diatomic molecule;a molecule composed of two atoms, which can be of the same or different elements, bonded together.;двухатомная молекула;молекула, состоящая из двух атомов, которые могут быть одного или разных элементов, связанных между собой.
diatomic molecules;molecules composed of two atoms, which can be the same or different elements, bonded together through covalent or ionic bonds. Examples include O₂ (oxygen gas) and HCl (hydrogen chloride).;двухатомные молекулы;молекулы, состоящие из двух атомов, которые могут быть одного или разных элементов, соединённых ковалентными или ионными связями. Примеры: O₂ (кислород) и HCl (хлороводород).
dielectric;an insulating material that can be polarized by an applied electric field, reducing the field within it and storing electrical energy.;диэлектрик;изолирующий материал, способный поляризоваться под действием электрического поля, уменьшая его внутри себя и накапливая электрическую энергию.
Dieterici;a thermodynamic equation of state for real gases, an alternative to the van der Waals equation, accounting for molecular interactions and volume exclusion effects.;Дитеричи;термодинамическое уравнение состояния реальных газов, альтернативное уравнению Ван-дер-Ваальса, учитывающее межмолекулярные взаимодействия и эффекты исключённого объёма.
